LON,LAT,GAP
-98.15,31.45,26.08
-98.15,31.7,28.39
-98.15,31.95,29.90
-98.15,32.2,28.49
-98.15,32.45,18.01
-98.15,32.7,20.51
-98.15,32.95,21.00
-98.15,33.2,23.09
-98.15,33.45,25.88
-98.15,33.7,32.50
-98.15,33.95,36.26
-98.15,34.2,45.16
-98.15,34.45,53.06
-98.15,34.7,64.44
-98.15,34.95,81.04
-98.15,35.2,103.38
-98.15,35.45,122.42
-98.15,35.7,127.45
-98.15,35.95,132.57
-98.15,36.2,137.83
-97.9,28.2,57.63
-97.9,28.45,56.50
-97.9,28.7,35.43
-97.9,28.95,25.14
-97.9,29.2,21.90
-97.9,29.45,15.57
-97.9,29.7,18.04
-97.9,29.95,15.13
-97.9,30.2,20.31
-97.9,30.45,26.05
-97.9,30.7,26.07
-97.9,30.95,22.29
-97.9,31.2,25.92
-97.9,31.45,28.87
-97.9,31.7,31.20
-97.9,31.95,32.38
-97.9,32.2,22.26
